|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|numexpress|rdeco|yotoe|case|plural|gender|animacy|cattimes|transitiv|sectransitiv|aspect|pers|catcomp|catcollat|catmood|catplural|refn|secrefn|pw|f_text|f_sent
1639|крыша дна|крыша дно|Крыша Дно|2GRM|1527.0|85.0|1.0|nPNC|149.0|||||||||||||||||||3|1.0
1661|пушка|пушек|пушек|NOUN|1548.0|87.0|16.0|SPEC||||gent|plur|femn|inan|||||||||||||5|1.0
1662|бмп|бмп|БМП|NOUN|1549.0|87.0|17.0|SPEC|||||sing||anim||||||||||Name|||2|1.0
1667|мрап|мрап|МРАП|NOUN|1554.0|87.0|22.0|SPEC|||||sing||anim||||||||||Name|||6|1.0
1675|крыша дна|крыша дно|Крыша дно|2GRM|1560.0|88.0|1.0|nPNC|150.0|||||||||||||||||||3|1.0
1683|рсзо|рсзо|РСЗО|NOUN|1567.0|88.0|8.0|SPEC|||||sing||anim||||||||||Name|||2|1.0
1686|бч|бч|БЧ|NOUN|1570.0|88.0|11.0|SPEC|||||sing||anim||||||||||Name|||1|1.0
1690|офз|офз|ОФЗ|NOUN|1574.0|88.0|15.0|ABVR|||||sing||inan|||||||||Fixd|Abbr|||3|1.0
1697|дз|дз|ДЗ|NOUN|1581.0|90.0|1.0|SPEC|||||sing||anim||||||||||Name|||12|2.0
1705|контакт-1|контакт-1|Контакт-1|DSNU|1588.0|90.0|8.0|DSNU||||||||||||||||||||1|1.0
1716|фальшборт|фальшборт|фальшборт|NOUN|1598.0|90.0|18.0|||||nomn|sing|masc|inan|||||||||||||8|2.0
1723|дз|дз|ДЗ|NOUN|1605.0|90.0|25.0|SPEC|||||sing||anim||||||||||Name|||12|2.0
1724|контакт|контакт|Контакт|NOUN|1606.0|90.0|26.0|TITL||||nomn|sing|masc|inan|||||||||||||4|1.0
1733|фальшборт|фальшборт|фальшборт|NOUN|1614.0|90.0|34.0|||||nomn|sing|masc|inan|||||||||||||8|2.0
1735|фальшборт|фальшборт|Фальшборт|NOUN|1616.0|91.0|1.0|||||nomn|sing|masc|inan|||||||||||||8|1.0
1748|антиптурина-650кг|антиптурина-650кг|антиптурина-650кг|DSNL|1629.0|92.0|3.0|DSNL||||||||||||||||||||1|1.0
1765|контакт|контакт|Контакт|NOUN|1646.0|93.0|16.0|TITL||||nomn|sing|masc|inan|||||||||||||4|1.0
1782|контакт|контакт|Контакт|NOUN|1662.0|94.0|8.0|TITL||||nomn|sing|masc|inan|||||||||||||4|1.0
1815|кс|кс|КС|NOUN|1691.0|95.0|14.0|SPEC|||||sing||anim||||||||||Name|||1|1.0
1856|броневанна|броневанна|Броневанна|NOUN|1732.0|98.0|1.0|||||nomn|sing|femn|inan||||||||||||броне|9|1.0
1874|броневанна|броневанна|броневанна|NOUN|1749.0|99.0|2.0|||||nomn|sing|femn|inan||||||||||||броне|9|1.0
1883|останется броня|остался броня|Осталось брони|2GRM|1756.0|100.0|1.0|nPNC|181.0|||||||||||||||||||3|1.0
1892|влд|влд|ВЛД|NOUN|1764.0|101.0|5.0|ABVR|||||sing||inan|||||||||Fixd|Abbr|||4|1.0
1898|дз|дз|ДЗ|NOUN|1770.0|101.0|11.0|SPEC|||||sing||anim||||||||||Name|||12|1.0
