|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_sent|count_word_text|count_key_text
1|2 августа|2 августа|2 августа|NUSR|2|2|1|NUSR|1.0|1|1
2|интерфакс|интерфакс|ИНТЕРФАКС|NOUN|3|3|1|UPPR|1.0|1|1
3|президент|президент|Президент|NOUN|4|3|2|TITL|1.0|3|3
4|рф|рф|РФ|NOUN|5|3|3|UPPR|1.0|1|1
5|вп|владимир путин|Владимир Путин|NAME|6|3|4|NAME|1.0|1|1
9|второе|второго|Второго|NOUN|11|3|9|TITL|1.0|2|2
10|третье|третьего|Третьего|NOUN|13|3|11|TITL|1.0|3|3
11|протокол|протоколов|протоколов|NOUN|14|3|12||1.0|6|6
13|изменение|изменения|изменения|NOUN|17|3|15||1.0|5|5
14|устав|устав|Устав|NOUN|19|3|17|TITL|1.0|3|3
15|одкб|одкб|ОДКБ|UPPR|20|3|18|UPPR|1.0|6|6
16|от 7 октября 2002 года|от 7 октября 2002 года|от 7 октября 2002 года|NUSR|21|3|19|NUSR|1.0|2|2
19|госдума|госдумой|Госдумой|NOUN|24|4|3|TITL|1.0|1|1
20|24 июля 2019 года|24 июля 2019 года|24 июля 2019 года|NUSR|25|4|4|NUSR|1.0|1|1
22|сф|советом федерации|Советом Федерации|NAME|28|4|7|NAME|1.0|1|1
23|26 июля 2019 года|26 июля 2019 года|26 июля 2019 года|NUSR|29|4|8|NUSR|1.0|1|1
29|24 декабря 2018 года|24 декабря 2018 года|24 декабря 2018 года|NUSR|36|5|1|NUSR|1.0|1|1
31|путин|путин|Путин|NOUN|39|5|4|TITL|1.0|1|1
34|протокол|протоколы|протоколы|NOUN|42|5|7||1.0|6|6
37|одкб|одкб|ОДКБ|UPPR|45|5|10|UPPR|1.0|6|6
40|третье|третьем|Третьем|NOUN|49|6|4|TITL|1.0|3|3
41|протокол|протоколе|протоколе|NOUN|50|6|5||2.0|6|6
42|внесение|внесении|внесении|NOUN|52|6|7||2.0|4|4
43|изменение|изменений|изменений|NOUN|53|6|8||2.0|5|5
45|одкб|одкб|ОДКБ|UPPR|56|6|11|UPPR|1.0|6|6
46|от 7 октября 2002 года|от 7 октября 2002 года|от 7 октября 2002 года|NUSR|57|6|12|NUSR|1.0|2|2
47|второе|втором|Втором|NOUN|59|6|14|TITL|1.0|2|2
48|протокол|протоколе|протоколе|NOUN|60|6|15||2.0|6|6
49|внесение|внесении|внесении|NOUN|62|6|17||2.0|4|4
50|изменение|изменений|изменений|NOUN|63|6|18||2.0|5|5
51|договор|договор|Договор|NOUN|65|6|20|TITL|1.0|2|2
54|от 15 мая 1992 года|от 15 мая 1992 года|от 15 мая 1992 года|NUSR|69|6|24|NUSR|1.0|1|1
56|2018 года|2018 года|2018 года|NUSR|73|7|4|NUSR|1.0|1|1
62|третье|третьего|Третьего|NOUN|80|7|11|TITL|1.0|3|3
63|протокол|протокола|протокола|NOUN|81|7|12||1.0|6|6
64|внесение|внесении|внесении|NOUN|83|7|14||1.0|4|4
65|изменение|изменений|изменений|NOUN|84|7|15||1.0|5|5
67|одкб|одкб|ОДКБ|UPPR|87|7|18|UPPR|1.0|6|6
82|одкб|одкб|ОДКБ|UPPR|106|8|14|UPPR|1.0|6|6
90|второй|второй|Второй|ADJF|117|9|11|TITL|1.0|1|1
91|протокол|протокол|протокол|NOUN|118|9|12||1.0|6|6
92|внесение|внесении|внесении|NOUN|120|9|14||1.0|4|4
93|изменение|изменений|изменений|NOUN|121|9|15||1.0|5|5
94|договор|договор|Договор|NOUN|123|9|17|TITL|1.0|2|2
99|совет|совета|Совета|NOUN|131|9|25|TITL|1.0|1|1
107|одкб|одкб|ОДКБ|UPPR|140|9|34|UPPR|1.0|6|6
