|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent|count_key_text
0|цамто|цамто|ЦАМТО|UPPR|1|1|1|UPPR|1|1.0|1
1|9 августа|9 августа|9 августа|NUSR|2|1|2|NUSR|1|1.0|1
5|рф|рф|РФ|NOUN|6|2|4|UPPR|2|1.0|2
17|техника|техники|техники|NOUN|21|2|19|SPEC|2|1.0|2
28|информация|информации|информации|NOUN|34|3|9||4|1.0|4
30|рн|риа новости|РИА Новости|WIQM|36|3|11|WIQM|1|1.0|1
33|информация|информации|информации|NOUN|40|4|4||4|1.0|4
53|фсб|фсб|ФСБ|ABVR|69|5|9|SPEC|1|1.0|1
54|фсо|фсо|ФСО|ABVR|71|5|11|SPEC|1|1.0|1
55|россия|россии|России|NOUN|72|5|12|SPEC|3|1.0|3
59|мид|мид|МИД|ABVR|80|5|20|SPEC|1|1.0|1
60|минобороны|минобороны|Минобороны|NOUN|81|5|21|TITL|1|1.0|1
61|мчс|мчс|МЧС|NOUN|83|5|23|UPPR|1|1.0|1
64|росатом|росатом|Росатом|CLIV|86|5|26|CLIV|1|1.0|1
65|роскосмос|роскосмос|Роскосмос|NOUN|88|5|28|CLIV|1|1.0|1
66|свр|свр|СВР|ABVR|90|6|2|SPEC|3|1.0|3
73|техника|техники|техники|NOUN|100|6|12|SPEC|2|1.0|2
88|россия|россии|России|NOUN|120|6|32|SPEC|3|1.0|3
89|свр|свр|СВР|ABVR|123|7|3|SPEC|3|1.0|3
92|информация|информацией|информацией|NOUN|127|7|7||4|1.0|4
107|россия|россии|России|NOUN|145|8|3|SPEC|3|1.0|3
109|информация|информацией|информацией|NOUN|147|8|5||4|1.0|4
121|рф|рф|РФ|NOUN|162|8|20|UPPR|2|1.0|2
126|свр|свр|СВР|ABVR|168|8|26|SPEC|3|1.0|3
