|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent|count_key_text
1|31 июля|31 июля|31 июля|NUSR|2|2|1|NUSR|1|1.0|1
2|интерфакс-украина|интерфакс-украина|ИНТЕРФАКС-УКРАИНА|DSNU|3|3|1|DSNU|1|1.0|1
3|офицер|офицеры|Офицеры|NOUN|4|3|2|TITL|1|1.0|1
4|лпу|литовско-польско-украинской|Литовско-польско-украинской|TITL|5|3|3|TITL|2|1.0|2
10|as|agile spirit|AGILE SPIRIT|UPPR|11|3|9|UPPR|2|1.0|2
11|2019|2019|2019|NUMB|12|3|10|NUMB|2|1.0|2
13|27 июля|27 июля|27 июля|NUSR|15|3|13|NUSR|1|1.0|1
14|грузия|грузии|Грузии|NOUN|17|3|15|SPEC|2|1.0|2
16|до 10 августа 2019 года|до 10 августа 2019 года|до 10 августа 2019 года|NUSR|20|3|18|NUSR|1|1.0|1
19|генштаб|генштаба|Генштаба|NOUN|23|3|21|TITL|2|1.0|2
20|всу|всу|ВСУ|ABVR|24|3|22|SPEC|2|1.0|2
21|3 тыс|3 тыс|3 тыс|NUSR|26|4|2|NUSR|1|1.0|1
24|нато|нато|НАТО|ABVR|29|4|5|SPEC|1|1.0|1
26|альянс|альянса|Альянса|NOUN|32|4|8|TITL|1|1.0|1
28|as|agile spirit|Agile Spirit|NAME|35|4|11|NAME|2|1.0|2
29|2019|2019|2019|NUMB|36|4|12|NUMB|2|1.0|2
30|грузия|грузия|Грузия|NOUN|39|4|15|SPEC|2|1.0|2
31|сша|сша|США|NOUN|40|4|16|SPEC|1|1.0|1
32|великобритания|великобритания|Великобритания|NOUN|41|4|17|SPEC|1|1.0|1
33|украина|украина|Украина|NOUN|42|4|18|SPEC|1|1.0|1
34|болгария|болгария|Болгария|NOUN|43|4|19|SPEC|1|1.0|1
35|греция|греция|Греция|NOUN|44|4|20|SPEC|1|1.0|1
36|бельгия|бельгия|Бельгия|NOUN|45|4|21|SPEC|1|1.0|1
37|польша|польша|Польша|NOUN|46|4|22|SPEC|1|1.0|1
38|латвия|латвия|Латвия|NOUN|47|4|23|SPEC|1|1.0|1
39|литва|литва|Литва|NOUN|48|4|24|SPEC|1|1.0|1
40|румыния|румыния|Румыния|NOUN|49|4|25|SPEC|1|1.0|1
41|черногория|черногория|Черногория|NOUN|50|4|26|SPEC|1|1.0|1
42|норвегия|норвегия|Норвегия|NOUN|51|4|27|SPEC|1|1.0|1
43|турция|турция|Турция|NOUN|53|4|29|SPEC|1|1.0|1
46|23 военнослужащих|23 военнослужащих|23 военнослужащих|NUSR|58|4|34|NUSR|1|1.0|1
47|лпу|литовско-польско-украинской|Литовско-польско-украинской|TITL|59|4|35|TITL|2|1.0|2
53|генштаб|генштаба|Генштаба|NOUN|67|4|43|TITL|2|1.0|2
54|всу|всу|ВСУ|ABVR|68|4|44|SPEC|2|1.0|2
61|сенаки|сенаки|Сенаки|TITL|77|5|7|TITL|1|1.0|1
62|sb|senaki base|SENAKI Base|ABVR|78|5|8|ABVR|1|1.0|1
63|ахалцихе|ахалцихе|Ахалцихе|NOUN|79|5|9|TITL|1|1.0|1
64|ota|orpholo training area|ORPHOLO Training Area|ABVR|80|5|10|ABVR|1|1.0|1
65|тбилиси|тбилиси|Тбилиси|NOUN|83|5|13|TITL|1|1.0|1
66|vta|vaziani training area|VAZIANI Training Area|ABVR|84|5|14|ABVR|1|1.0|1
