|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_sent|count_word_text|count_key_text
0|любопытный|любопытная|Любопытная|ADJF|1|1|1||1.0|4|4
7|сс|советском союзе|Советском Союзе|NAME|12|2|2|NAME|1.0|1|1
18|бункер|бункеров|бункеров|NOUN|33|3|6|SPEC|1.0|1|1
48|проект|проекты|проекты|NOUN|77|6|5||1.0|5|5
50|машина|машин|машин|NOUN|79|6|7|SPEC|1.0|3|3
51|техника|техники|техники|NOUN|81|6|9|SPEC|1.0|1|1
62|программа|программа|программа|NOUN|100|7|6||1.0|6|6
63|лвш|лвш|ЛВШ|UPPR|101|7|7|UPPR|2.0|5|5
64|лвш|легко-воспроизводимый штурмовик|Легко-воспроизводимый штурмовик|ABVR|102|7|8|ABVR|2.0|5|5
66|проект|проект|проект|NOUN|106|7|12||1.0|5|5
74|самолет|самолета|самолета|NOUN|115|7|21|SPEC|1.0|11|11
84|8|80-х|80-х|NUSR|126|8|3|NUSR|1.0|1|1
86|кб|кб|КБ|ABVR|129|8|6|SPEC|1.0|1|1
87|сухой|сухого|Сухого|NOUN|130|8|7|TITL|1.0|1|1
88|программа|программе|программе|NOUN|132|8|9||2.0|6|6
89|лвш|лвш|ЛВШ|UPPR|133|8|10|UPPR|1.0|5|5
92|12|100-2|100-2|WIQM|138|8|15|WIQM|1.0|2|2
94|программа|программы|программы|NOUN|142|8|19||2.0|6|6
98|любопытный|любопытных|любопытных|NOUN|147|8|24||1.0|4|4
99|проект|проектов|проектов|NOUN|148|8|25||1.0|5|5
102|проект|проекту|проекту|NOUN|153|9|5||1.0|5|5
103|лвш|лвш|ЛВШ|UPPR|154|9|6|UPPR|1.0|5|5
108|самолет|самолета|самолета|NOUN|159|9|11|SPEC|3.0|11|11
109|су-25|су-25|Су-25|DSNU|160|9|12|DSNU|2.0|2|2
110|окб|окб|ОКБ|ABVR|165|9|17|SPEC|1.0|1|1
111|пос|п.о. сухого|П.О. Сухого|FLNM|167|9|19|FLNM|1.0|1|1
112|самолет|самолет|самолет|NOUN|168|9|20|SPEC|3.0|11|11
113|су-25|су-25|Су-25|DSNU|169|9|21|DSNU|2.0|2|2
116|т-8|т-8|Т-8|DSNU|172|9|24|DSNU|1.0|1|1
118|самолет|самолет|самолет|NOUN|175|9|27|SPEC|3.0|11|11
121|т-8в|т-8в|Т-8В|DSNU|178|9|30|DSNU|1.0|1|1
122|винтовой|винтовой|винтовой|ABVR|179|9|31|ABVR|1.0|1|1
128|12|100-2|100-2|WIQM|185|10|6|WIQM|1.0|2|2
129|аиа|арнольд иванович андрианов|Арнольд Иванович Андрианов|NAME|186|10|7|NAME|1.0|1|1
132|ннв|н.н. венедиктов|Н.Н. Венедиктов|FLNM|189|10|10|FLNM|1.0|1|1
133|ввс|в.в. сахаров|В.В. Сахаров|FLNM|190|10|11|FLNM|1.0|1|1
134|вим|в.и. москаленко|В.И. Москаленко|FLNM|191|10|12|FLNM|1.0|1|1
137|епг|е.п.грунин|Е.П.Грунин|FLNM|195|11|4|FLNM|1.0|1|1
140|юви|юрий викторович ивашечкин|Юрий Викторович Ивашечкин|NAME|198|12|3|NAME|1.0|1|1
143|любопытный|любопытных|любопытных|NOUN|202|13|4||1.0|4|4
145|программа|программы|программы|NOUN|206|13|8||1.0|6|6
147|проект|проект|проект|NOUN|208|13|10||1.0|5|5
148|т-710|т-710|Т-710|DSNU|209|13|11|DSNU|1.0|1|1
149|анаконда|анаконда|Анаконда|NOUN|210|13|12|CLIV|1.0|2|2
153|самолет|самолета|самолета|NOUN|215|13|17|SPEC|1.0|11|11
154|ov-10|ov-10|OV-10|DSNU|216|13|18|DSNU|1.0|1|1
155|bronco|bronco|Bronco|TITL|217|13|19|TITL|1.0|1|1
156|штурмовик|штурмовика|штурмовика|NOUN|218|13|20|SPEC|1.0|3|3
157|самолет|самолета|самолета|NOUN|221|14|3|SPEC|2.0|11|11
160|машина|машина|машина|NOUN|225|14|7|SPEC|1.0|3|3
168|самолет|самолет|самолет|NOUN|235|14|17|SPEC|2.0|11|11
169|рэб|рэб|РЭБ|ABVR|236|14|18|SPEC|1.0|1|1
173|ттх|ттх|ТТХ|ABVR|240|15|2|SPEC|1.0|1|1
174|самолет|самолета|самолета|NOUN|241|15|3|SPEC|1.0|11|11
179|7500к|7500 кг|7500 кг|NUSR|247|15|9|NUSR|1.0|1|1
183|4600к|4600 кг|4600 кг|NUSR|251|15|13|NUSR|1.0|1|1
187|2900к|2900 кг|2900 кг|NUSR|255|15|17|NUSR|1.0|1|1
189|топливо|топлива|топлива|NOUN|258|15|20|SPEC|1.0|2|2
190|1500к|1500 кг|1500 кг|NUSR|259|15|21|NUSR|1.0|1|1
193|топливо|топливом|топливом|NOUN|263|16|4|SPEC|1.0|2|2
198|1400к|1400 кг|1400 кг|NUSR|268|16|9|NUSR|1.0|1|1
199|7д|7 десантников|7 десантников|NUSR|270|16|11|NUSR|1.0|1|1
203|д2500к|до 2500 кг|до 2500 кг|NUSR|276|17|6|NUSR|1.0|1|1
206|самолет|самолет|Самолет|NOUN|279|18|1|SPEC|1.0|11|11
208|8т|8 точек|8 точек|NUSR|281|18|3|NUSR|1.0|1|1
211|4н|4 на|4 на|NUSR|284|18|6|NUSR|1.0|1|1
212|крыло|крыле|крыле|NOUN|285|18|7|SPEC|1.0|1|1
213|и4н|и 4 на|и 4 на|NUSR|286|18|8|NUSR|1.0|1|1
215|фюзеляж|фюзеляжем|фюзеляжем|NOUN|289|18|11|SPEC|1.0|2|2
218|фюзеляж|фюзеляжа|фюзеляжа|NOUN|292|19|3|SPEC|1.0|2|2
220|су-25уб|су-25уб|Су-25УБ|DSNU|295|19|6|DSNU|1.0|1|1
222|3|30-мм|30-мм|NUSR|299|19|10|NUSR|1.0|1|1
223|пушка|пушкой|пушкой|NOUN|300|19|11|SPEC|1.0|1|1
224|гш-30|гш-30|ГШ-30|DSNU|301|19|12|DSNU|1.0|1|1
227|кабина|кабиной|кабиной|NOUN|305|19|16|SPEC|1.0|1|1
235|двигатель|двигателей|двигателей|NOUN|315|20|3|SPEC|1.0|2|2
236|твд-20|твд-20|ТВД-20|DSNU|316|20|4|DSNU|1.0|1|1
237|твд-1500|твд-1500|ТВД-1500|DSNU|317|20|5|DSNU|1.0|1|1
241|1400л|1400 л.с|1400 л.с|NUSR|323|20|11|NUSR|1.0|1|1
244|броня|броней|броней|NOUN|326|20|14|SPEC|1.0|1|1
248|двигатель|двигателях|двигателях|NOUN|332|21|4|SPEC|1.0|2|2
250|480-490к|480-490 км/ч|480-490 км/ч|NUSR|334|21|6|NUSR|1.0|1|1
256|цаги|цаги|ЦАГИ|NOUN|342|22|8|UPPR|1.0|1|1
