|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent
0|любопытный|любопытная|Любопытная|ADJF|1|1|1||4|1.0
1|разработка|разработка|разработка|NOUN|2|1|2||2|1.0
2|советский|советских|советских|ADJF|3|1|3||1|1.0
3|время|времен|времен|NOUN|4|1|4||1|1.0
4|востребован|востребована|востребована|PRTS|7|1|7||1|1.0
5|мировой|мировом|мировом|NOUN|9|1|9||2|1.0
6|рынок|рынке|рынке|NOUN|10|1|10||2|1.0
7|сс|советском союзе|Советском Союзе|NAME|12|2|2|NAME|1|1.0
8|подготовка|подготовка|подготовка|NOUN|13|2|3||1|1.0
9|возможный|возможной|возможной|ADJF|15|2|5||1|1.0
10|ядерный|ядерной|ядерной|ADJF|16|2|6||3|1.0
11|война|войне|войне|NOUN|17|2|7||2|1.0
12|провожусь|проводилась|проводилась|VERB|18|2|8||1|1.0
13|представить|представить|представить|INFN|27|2|17||1|1.0
14|работа|работы|работы|NOUN|29|3|2||3|1.0
15|не|не|не|PRCL|30|3|3||4|1.0
16|ограничиваюсь|ограничивались|ограничивались|VERB|31|3|4||1|1.0
17|строительство|строительством|строительством|NOUN|32|3|5||1|1.0
18|бункер|бункеров|бункеров|NOUN|33|3|6|SPEC|1|1.0
19|убежище|убежищ|убежищ|NOUN|35|3|8||1|1.0
20|заполнение|заполнением|заполнением|NOUN|37|3|10||1|1.0
21|склад|складов|складов|NOUN|38|3|11||1|1.0
22|длительный|длительного|длительного|ADJF|39|3|12||1|1.0
23|хранение|хранения|хранения|NOUN|40|3|13||1|1.0
24|продумываюсь|продумывалось|продумывалось|VERB|42|4|2||1|1.0
25|возрождаться|возрождаться|возрождаться|INFN|45|4|5||1|1.0
26|ядерный|ядерных|ядерных|ADJF|47|4|7||3|1.0
27|развалины|развалин|развалин|NOUN|48|4|8||1|1.0
28|страна|страна|страна|NOUN|49|4|9||3|1.0
29|восстанавливаться|восстанавливаться|восстанавливаться|INFN|51|4|11||1|1.0
30|жизнь|жизнь|жизнь|NOUN|53|4|13||1|1.0
31|весь|всех|всех|ADJF|55|4|15||1|1.0
32|аспект|аспектах|аспектах|NOUN|56|4|16||1|1.0
33|предполагаюсь|предполагалось|Предполагалось|VERB|57|5|1||4|1.0
34|результат|результате|результате|NOUN|60|5|4||1|1.0
35|разрушение|разрушения|разрушения|NOUN|61|5|5||1|1.0
36|главный|главных|главных|ADJF|62|5|6||1|1.0
37|промышленный|промышленных|промышленных|ADJF|63|5|7||1|1.0
38|центр|центров|центров|NOUN|64|5|8||1|1.0
39|страна|страны|страны|NOUN|65|5|9||3|1.0
40|иметь|иметь|иметь|INFN|67|5|11||1|1.0
41|место|место|место|NOUN|68|5|12||1|1.0
42|значительный|значительное|значительное|ADJF|69|5|13||1|1.0
43|снижение|снижение|снижение|NOUN|70|5|14||1|1.0
44|технологический|технологического|технологического|ADJF|71|5|15||1|1.0
45|уровень|уровня|уровня|NOUN|72|5|16||1|1.0
46|исходя|исходя|Исходя|GRND|73|6|1||1|1.0
47|разрабатываюсь|разрабатывались|разрабатывались|VERB|76|6|4||2|1.0
48|проект|проекты|проекты|NOUN|77|6|5||5|1.0
49|различный|различных|различных|ADJF|78|6|6||1|1.0
50|машина|машин|машин|NOUN|79|6|7|SPEC|3|1.0
51|техника|техники|техники|NOUN|81|6|9|SPEC|1|1.0
52|производство|производство|производство|NOUN|82|6|10||2|1.0
53|наладить|наладить|наладить|INFN|86|6|14||1|1.0
54|условие|условиях|условиях|NOUN|88|6|16||1|1.0
55|разрушенный|разрушенной|разрушенной|PRTF|89|6|17||1|1.0
56|страна|страны|страны|NOUN|90|6|18||3|1.0
57|разорванный|разорванных|разорванных|PRTF|92|6|20||1|1.0
58|производственный|производственных|производственных|ADJF|93|6|21||1|1.0
59|связь|связей|связей|NOUN|94|6|22||1|1.0
60|число|числе|числе|NOUN|96|7|2||1|1.0
61|запущен|запущена|запущена|PRTS|99|7|5||1|1.0
62|программа|программа|программа|NOUN|100|7|6||6|1.0
63|лвш|лвш|ЛВШ|UPPR|101|7|7|UPPR|5|2.0
64|лвш|легко-воспроизводимый штурмовик|Легко-воспроизводимый штурмовик|ABVR|102|7|8|ABVR|5|2.0
65|разрабатываюсь|разрабатывался|разрабатывался|VERB|105|7|11||2|1.0
66|проект|проект|проект|NOUN|106|7|12||5|1.0
67|недорогой|недорогого|недорогого|ADJF|107|7|13||1|1.0
68|не|не|не|PRCL|109|7|15||4|1.0
69|требующий|требующего|требующего|PRTF|110|7|16||1|1.0
70|излишен|излишне|излишне|ADJS|111|7|17||1|1.0
71|сложный|сложного|сложного|ADJF|112|7|18||1|1.0
72|производство|производства|производства|NOUN|113|7|19||2|1.0
73|боевой|боевого|боевого|ADJF|114|7|20||3|1.0
74|самолет|самолета|самолета|NOUN|115|7|21|SPEC|11|1.0
75|способный|способного|способного|ADJF|116|7|22||1|1.0
76|решать|решать|решать|INFN|117|7|23||1|1.0
77|широкий|широкий|широкий|ADJF|118|7|24||1|1.0
78|спектр|спектр|спектр|NOUN|119|7|25||1|1.0
79|задача|задач|задач|NOUN|120|7|26||1|1.0
80|огневой|огневой|огневой|ADJF|121|7|27||2|1.0
81|поддержка|поддержки|поддержки|NOUN|122|7|28||2|1.0
82|войско|войск|войск|NOUN|123|7|29||1|1.0
83|конец|конце|конце|NOUN|125|8|2||1|1.0
84|8|80-х|80-х|NUSR|126|8|3|NUSR|1|1.0
85|год|годов|годов|NOUN|127|8|4||1|1.0
86|кб|кб|КБ|ABVR|129|8|6|SPEC|1|1.0
87|сухой|сухого|Сухого|NOUN|130|8|7|TITL|1|1.0
88|программа|программе|программе|NOUN|132|8|9||6|2.0
89|лвш|лвш|ЛВШ|UPPR|133|8|10|UPPR|5|1.0
90|называемый|называемой|называемой|PRTF|136|8|13||1|1.0
91|бригада|бригаде|бригаде|NOUN|137|8|14||2|1.0
92|12|100-2|100-2|WIQM|138|8|15|WIQM|2|1.0
93|рамка|рамках|рамках|NOUN|140|8|17||3|1.0
94|программа|программы|программы|NOUN|142|8|19||6|2.0
95|разработан|разработан|разработан|PRTS|144|8|21||1|1.0
96|целый|целый|целый|ADJF|145|8|22||1|1.0
97|ряд|ряд|ряд|NOUN|146|8|23||1|1.0
98|любопытный|любопытных|любопытных|NOUN|147|8|24||4|1.0
99|проект|проектов|проектов|NOUN|148|8|25||5|1.0
100|технический|техническом|техническом|ADJF|150|9|2||1|1.0
101|задание|задании|задании|NOUN|151|9|3||1|1.0
102|проект|проекту|проекту|NOUN|153|9|5||5|1.0
103|лвш|лвш|ЛВШ|UPPR|154|9|6|UPPR|5|1.0
104|оговариваюсь|оговаривалось|оговаривалось|VERB|155|9|7||1|1.0
105|максимальный|максимальное|максимальное|ADJF|156|9|8||2|1.0
106|использование|использование|использование|NOUN|157|9|9||3|1.0
