|word|tword|pos|idsent|sentpos
134|двухфюзеляжного|двухфюзеляжного|211|13|13
204|мотогондолы|мотогондолы|324|20|12
207|шестилопастные|шестилопастные|328|20|16
247|контрпартизанских|контрпартизанских|391|24|5
