|values
keyscount|98.0
Ukeyscount|62.0
Skeyscount|36.0
USkeyscount|19.0
Nkeyscount|15.0
UNkeyscount|3.0
partlangkeys|['ADJF', 'NAME', 'NOUN', 'UPPR', 'ABVR', 'NUSR', 'WIQM', 'DSNU', 'FLNM', 'TITL']
typeskeys|[None, 'NAME', 'SPEC', 'UPPR', 'ABVR', 'NUSR', 'TITL', 'WIQM', 'DSNU', 'FLNM', 'CLIV']
inwhatsents|[1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]
minkeyssent|1.0
maxkeyssent|12.0
meankeyssent|3.77
minrepeatkey|1.0
maxrepeatkeys|11.0
meanrepeatkey|3.2
allcolumnskey|['lemm', 'word', 'tword', 'partlang', 'pos', 'idsent', 'sentpos', 'tkey', 'count_word_sent', 'count_word_text', 'count_key_text']
keys-%|21.68
Ukeys-%|13.72
KUkeys-%|63.27
Skeys-%|7.96
Skeysofkeys-%|36.73
USkeysofUkeys-%|30.65
Nkeys-%|3.32
Nkeysofkeys-%|15.31
UNkeysofUkeys-%|4.84
