|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_sent|count_word_text|count_key_text
0|сша|сша|США|NOUN|2|1|2|SPEC|1.0|4|4
3|испытание|испытание|испытание|NOUN|6|1|6||1.0|4|4
6|гиперзвуковой|гиперзвуковой|гиперзвуковой|ADJF|9|1|9||1.0|5|5
9|данный|данном|данном|ADJF|13|2|3||1.0|5|5
18|agm-183a|agm-183a|AGM-183A|DSNU|23|3|6|DSNU|1.0|2|2
19|arrw|arrw|ARRW|UPPR|24|3|7|UPPR|1.0|2|2
25|гиперзвуковой|гиперзвукового|гиперзвукового|ADJF|32|3|15||1.0|5|5
26|комплекс|комплекса|комплекса|NOUN|33|3|16|SPEC|1.0|3|3
27|кинжал|кинжал|Кинжал|NOUN|34|3|17|SPEC|1.0|3|3
28|испытание|испытания|Испытания|NOUN|35|4|1||1.0|4|4
32|эдвардс|эдвардс|Эдвардс|CLIV|40|4|6|CLIV|1.0|1|1
34|данный|данный|данный|ADJF|44|5|4||1.0|5|5
35|момент|момент|момент|NOUN|45|5|5||1.0|4|4
37|носитель|носителем|носителем|NOUN|47|5|7|SPEC|1.0|2|2
38|ракета|ракет|ракет|NOUN|48|5|8|SPEC|1.0|6|6
39|гиперзвуковой|гиперзвукового|гиперзвукового|ADJF|49|5|9||1.0|5|5
40|комплекс|комплекса|комплекса|NOUN|50|5|10|SPEC|1.0|3|3
41|кинжал|кинжал|Кинжал|NOUN|51|5|11|SPEC|1.0|3|3
44|миг-31|миг-31|МиГ-31|DSNU|54|5|14|DSNU|1.0|1|1
45|сша|сша|США|NOUN|56|6|2|SPEC|1.0|4|4
47|носитель|носителя|носителя|NOUN|59|6|5|SPEC|1.0|2|2
50|бомбардировщик|бомбардировщик|бомбардировщик|NOUN|62|6|8|SPEC|1.0|1|1
51|b-52|b-52|B-52|DSNU|63|6|9|DSNU|1.0|1|1
52|b5|b-52h|B-52H|ABVR|64|6|10|ABVR|1.0|1|1
55|0036|0036|0036|NUMB|68|6|14|NUMB|1.0|1|1
59|испытание|испытаниях|испытаниях|NOUN|74|7|6||1.0|4|4
60|истребитель|истребителях|истребителях|NOUN|76|7|8|SPEC|1.0|1|1
64|сми|сми|СМИ|NOUN|82|8|6|UPPR|1.0|1|1
67|данный|данный|данный|ADJF|86|8|10||1.0|5|5
68|момент|момент|момент|NOUN|87|8|11||1.0|4|4
70|780 млн|780 млн|780 млн|NUSR|90|8|14|NUSR|1.0|1|1
76|ввс|ввс|ВВС|ABVR|98|9|7|SPEC|1.0|1|1
78|lmfc|lmfc|LMFC|UPPR|101|9|10|UPPR|1.0|1|1
79|lm|lockheed missiles and fire control|Lockheed Missiles and Fire Control|ABVR|102|9|11|ABVR|1.0|1|1
82|вс|ввс сша|ВВС США|UPPR|105|10|3|UPPR|1.0|2|2
86|ур|уилл ропер|Уилл Ропер|NAME|111|10|9|NAME|1.0|1|1
93|вашингтон|вашингтона|Вашингтона|NOUN|119|10|17|TITL|1.0|1|1
96|сша|сша|США|NOUN|125|11|6|SPEC|1.0|4|4
101|гиперзвуковой|гиперзвуковых|гиперзвуковых|ADJF|132|11|13||1.0|5|5
103|россия|россией|Россией|NOUN|135|11|16|SPEC|1.0|1|1
104|китай|китаем|Китаем|NOUN|137|11|18|SPEC|1.0|1|1
107|испытание|испытаний|испытаний|NOUN|141|12|4||1.0|4|4
108|ракета|ракеты|ракеты|NOUN|142|12|5|SPEC|1.0|6|6
109|agm-183a|agm-183a|AGM-183A|DSNU|143|12|6|DSNU|1.0|2|2
110|arrw|arrw|ARRW|UPPR|144|12|7|UPPR|1.0|2|2
112|данный|данный|данный|ADJF|149|12|12||1.0|5|5
113|момент|момент|момент|NOUN|150|12|13||1.0|4|4
118|сша|сша|США|NOUN|158|13|4|SPEC|1.0|4|4
122|ракета|ракеты|ракеты|NOUN|163|13|9|SPEC|1.0|6|6
128|до 20 скоростей|до 20 скоростей|до 20 скоростей|NUSR|171|13|17|NUSR|1.0|1|1
130|2м|20 м|20 М|ABVR|173|13|19|ABVR|1.0|1|1
137|данный|данный|данный|ADJF|186|14|13||1.0|5|5
138|момент|момент|момент|NOUN|187|14|14||1.0|4|4
144|ракета|ракетой|ракетой|NOUN|196|15|7|SPEC|1.0|6|6
149|крыло|крылом|крылом|NOUN|206|15|17|SPEC|1.0|1|1
150|стратег|стратега|стратега|NOUN|207|15|18|WIQM|1.0|1|1
152|b-52h|b-52h|B-52H|DSNU|209|16|2|DSNU|1.0|1|1
157|ракета|ракетами|ракетами|NOUN|216|16|9|SPEC|1.0|6|6
158|ракета|ракете|ракете|NOUN|220|17|2|SPEC|1.0|6|6
160|самолёт|самолёт|Самолёт|NOUN|226|18|1|SPEC|1.0|1|1
162|разгонный|разгонной|разгонной|ADJF|229|18|4|WIQM|1.0|1|1
163|платформа|платформой|платформой|NOUN|230|18|5|SPEC|1.0|1|1
166|кинжал|кинжалом|Кинжалом|NOUN|237|18|12|SPEC|1.0|3|3
167|вс|ввс сша|ВВС США|UPPR|239|19|2|UPPR|1.0|2|2
172|гиперзвуковой|гиперзвуковых|гиперзвуковых|ADJF|246|19|9||1.0|5|5
174|комплекс|комплексов|комплексов|NOUN|248|19|11|SPEC|1.0|3|3
175|2022 году|2022 году|2022 году|NUSR|250|19|13|NUSR|1.0|1|1
