|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_sent|count_word_text|count_key_text
0|национальный|национальном|Национальном|ADJF|2|1|2|TITL|1.0|4|4
1|космический|космическом|космическом|ADJF|3|1|3||1.0|6|6
4|прорыв|прорыв|прорыв|NOUN|7|1|7|WIQM|1.0|2|2
5|пекин|пекина|Пекина|NOUN|8|1|8|TITL|2.0|3|3
8|технология|технологий|технологий|NOUN|12|1|12||1.0|5|5
10|год|годы|годы|NOUN|15|1|15||1.0|4|4
11|пекин|пекин|ПЕКИН|NOUN|16|1|16|UPPR|2.0|3|3
12|10 июля|10 июля|10 июля|NUSR|17|1|17|NUSR|1.0|1|1
13|тасс|тасс|ТАСС|NOUN|19|3|1|UPPR|1.0|1|1
14|нс|николай селищев|Николай Селищев|NAME|20|3|2|NAME|1.0|1|1
15|китай|китай|Китай|NOUN|21|4|1|SPEC|1.0|4|4
16|2025 году|2025 году|2025 году|NUSR|23|4|3|NUSR|1.0|1|1
19|100 спутников|100 спутников|100 спутников|NUSR|29|4|9|NUSR|1.0|1|1
26|национальный|национального|Национального|ADJF|38|5|9|TITL|1.0|4|4
27|космический|космического|космического|ADJF|39|5|10||1.0|6|6
29|кнр|кнр|КНР|NOUN|41|5|12|UPPR|1.0|4|4
30|юц|юй ци|Юй Ци|NAME|42|5|13|NAME|1.0|1|1
32|год|годы|годы|NOUN|45|6|3||1.0|4|4
33|китай|китай|Китай|NOUN|46|6|4|SPEC|1.0|4|4
38|технология|технологий|технологий|NOUN|52|6|10||1.0|5|5
43|страна|страна|страна|NOUN|60|7|2||1.0|4|4
58|пекин|пекине|Пекине|NOUN|81|7|23|TITL|1.0|3|3
62|технология|технологиям|технологиям|NOUN|87|7|29||1.0|5|5
64|космический|космическая|космическая|ADJF|91|8|4||1.0|6|6
66|кнр|кнр|КНР|NOUN|93|8|6|UPPR|1.0|4|4
73|национальный|национальных|национальных|ADJF|105|8|18||1.0|4|4
82|страна|страны|страны|NOUN|116|9|10||1.0|4|4
86|ци|ци|Ци|TITL|120|10|2|TITL|1.0|1|1
91|кнр|кнр|КНР|NOUN|127|10|9|UPPR|1.0|4|4
96|технология|технологий|технологий|NOUN|133|10|15||1.0|5|5
102|20 отраслях|20 отраслях|20 отраслях|NUSR|144|10|26|NUSR|1.0|1|1
111|китай|китай|Китай|NOUN|159|11|1|SPEC|1.0|4|4
113|национальный|национальную|национальную|ADJF|162|11|4||1.0|4|4
114|космический|космическую|космическую|ADJF|163|11|5||1.0|6|6
123|аппарат|аппаратов|аппаратов|NOUN|173|11|15|SPEC|1.0|2|2
129|страна|стране|стране|NOUN|182|12|9||1.0|4|4
131|технология|технологии|технологии|NOUN|184|12|11||1.0|5|5
134|марс|марса|Марса|NOUN|189|12|16|TITL|1.0|1|1
139|кнр|кнр|КНР|NOUN|196|12|23|UPPR|1.0|4|4
142|2020-2025 годах|2020-2025 годах|2020-2025 годах|NUSR|200|12|27|NUSR|1.0|1|1
145|космический|космическом|космическом|ADJF|205|13|5||1.0|6|6
148|200 действующих|200 действующих|200 действующих|NUSR|209|13|9|NUSR|1.0|1|1
154|аппарат|аппаратов|аппаратов|NOUN|217|13|17|SPEC|1.0|2|2
155|китай|китай|Китай|NOUN|220|14|3|SPEC|1.0|4|4
157|307 запусков|307 запусков|307 запусков|NUSR|222|14|5|NUSR|1.0|1|1
158|39 в|39 в|39 в|NUSR|225|14|8|NUSR|1.0|1|1
160|год|году|году|NOUN|227|14|10||1.0|4|4
162|год|году|году|NOUN|230|15|3||1.0|4|4
163|страна|страна|страна|NOUN|231|15|4||1.0|4|4
167|30 искусственных|30 искусственных|30 искусственных|NUSR|237|15|10|NUSR|1.0|1|1
168|космический|космических|космических|ADJF|238|15|11||1.0|6|6
