|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent
0|национальный|национальном|Национальном|ADJF|2|1|2|TITL|4|1.0
1|космический|космическом|космическом|ADJF|3|1|3||6|1.0
2|управление|управлении|управлении|NOUN|4|1|4||2|1.0
3|отметил|отметили|отметили|VERB|6|1|6||1|1.0
4|прорыв|прорыв|прорыв|NOUN|7|1|7|WIQM|2|1.0
5|пекин|пекина|Пекина|NOUN|8|1|8|TITL|3|2.0
6|развитие|развитии|развитии|NOUN|10|1|10||3|1.0
7|аэрокосмический|аэрокосмических|аэрокосмических|ADJF|11|1|11||2|1.0
8|технология|технологий|технологий|NOUN|12|1|12||5|1.0
9|последний|последние|последние|ADJF|14|1|14||3|1.0
10|год|годы|годы|NOUN|15|1|15||4|1.0
11|пекин|пекин|ПЕКИН|NOUN|16|1|16|UPPR|3|2.0
12|10 июля|10 июля|10 июля|NUSR|17|1|17|NUSR|1|1.0
13|тасс|тасс|ТАСС|NOUN|19|3|1|UPPR|1|1.0
14|нс|николай селищев|Николай Селищев|NAME|20|3|2|NAME|1|1.0
15|китай|китай|Китай|NOUN|21|4|1|SPEC|4|1.0
16|2025 году|2025 году|2025 году|NUSR|23|4|3|NUSR|1|1.0
17|вывел|выведет|выведет|VERB|25|4|5||1|1.0
18|орбита|орбиту|орбиту|NOUN|27|4|7||2|1.0
19|100 спутников|100 спутников|100 спутников|NUSR|29|4|9|NUSR|1|1.0
20|сообщил|сообщила|сообщила|VERB|32|5|3||1|1.0
21|заместитель|заместитель|заместитель|NOUN|33|5|4||1|1.0
22|глава|главы|главы|NOUN|34|5|5||1|1.0
23|департамент|департамента|департамента|NOUN|35|5|6||2|1.0
24|международный|международного|международного|ADJF|36|5|7||1|1.0
25|сотрудничество|сотрудничества|сотрудничества|NOUN|37|5|8||1|1.0
26|национальный|национального|Национального|ADJF|38|5|9|TITL|4|1.0
27|космический|космического|космического|ADJF|39|5|10||6|1.0
28|управление|управления|управления|NOUN|40|5|11||2|1.0
29|кнр|кнр|КНР|NOUN|41|5|12|UPPR|4|1.0
30|юц|юй ци|Юй Ци|NAME|42|5|13|NAME|1|1.0
31|последний|последние|последние|ADJF|44|6|2||3|1.0
32|год|годы|годы|NOUN|45|6|3||4|1.0
33|китай|китай|Китай|NOUN|46|6|4|SPEC|4|1.0
34|совершил|совершил|совершил|VERB|47|6|5||1|1.0
35|прорыв|прорыв|прорыв|NOUN|48|6|6||2|1.0
36|развитие|развитии|развитии|NOUN|50|6|8||3|1.0
37|аэрокосмический|аэрокосмических|аэрокосмических|ADJF|51|6|9||2|1.0
38|технология|технологий|технологий|NOUN|52|6|10||5|1.0
39|отрасль|отраслей|отраслей|NOUN|54|6|12||1|1.0
40|имеющий|имеющих|имеющих|PRTF|55|6|13||1|1.0
41|отношение|отношение|отношение|NOUN|58|6|16||1|1.0
42|наш|наша|Наша|ADJF|59|7|1||2|1.0
43|страна|страна|страна|NOUN|60|7|2||4|1.0
44|заложил|заложила|заложила|VERB|62|7|4||1|1.0
45|основа|основу|основу|NOUN|63|7|5||1|1.0
46|создал|создала|создала|VERB|65|7|7||1|1.0
47|благоприятный|благоприятные|благоприятные|ADJF|66|7|8||1|1.0
48|условие|условия|условия|NOUN|67|7|9||1|1.0
49|ускоренный|ускоренного|ускоренного|ADJF|69|7|11||1|1.0
50|развитие|развития|развития|NOUN|70|7|12||3|1.0
51|сфера|сферы|сферы|NOUN|72|7|14||2|1.0
52|народный|народного|народного|ADJF|73|7|15||1|1.0
53|хозяйство|хозяйства|хозяйства|NOUN|74|7|16||2|1.0
54|рассказал|рассказала|рассказала|VERB|75|7|17||1|1.0
55|замглавы|замглавы|замглавы|NOUN|76|7|18||1|1.0
56|департамент|департамента|департамента|NOUN|77|7|19||2|1.0
57|состоявшийся|состоявшейся|состоявшейся|PRTF|79|7|21||1|1.0
58|пекин|пекине|Пекине|NOUN|81|7|23|TITL|3|1.0
59|конференция|конференции|конференции|NOUN|82|7|24||1|1.0
60|географический|географическим|географическим|ADJF|84|7|26||1|1.0
61|информационный|информационным|информационным|ADJF|86|7|28||1|1.0
62|технология|технологиям|технологиям|NOUN|87|7|29||5|1.0
63|слово|словам|словам|NOUN|90|8|3||1|1.0
64|космический|космическая|космическая|ADJF|91|8|4||6|1.0
65|программа|программа|программа|NOUN|92|8|5||2|1.0
66|кнр|кнр|КНР|NOUN|93|8|6|UPPR|4|1.0
67|приобретаю|приобретает|приобретает|VERB|95|8|8||1|1.0
68|насыщенный|насыщенный|насыщенный|ADJF|98|8|11||1|1.0
69|характер|характер|характер|NOUN|99|8|12||1|1.0
70|увеличиваюсь|увеличивается|увеличивается|VERB|101|8|14||1|1.0
71|сфера|сфера|сфера|NOUN|103|8|16||2|1.0
72|применение|применения|применения|NOUN|104|8|17||1|1.0
73|национальный|национальных|национальных|ADJF|105|8|18||4|1.0
74|разработка|разработок|разработок|NOUN|106|8|19||1|1.0
75|думаю|думаю|Думаю|VERB|107|9|1||1|1.0
76|оказал|окажет|окажет|VERB|109|9|3||1|1.0
77|особый|особое|особое|ADJF|110|9|4||1|1.0
78|стимулирующий|стимулирующее|стимулирующее|PRTF|111|9|5||1|1.0
79|воздействие|воздействие|воздействие|NOUN|112|9|6||1|1.0
80|экономика|экономику|экономику|NOUN|114|9|8||1|1.0
81|наш|нашей|нашей|ADJF|115|9|9||2|1.0
82|страна|страны|страны|NOUN|116|9|10||4|1.0
83|подчеркнул|подчеркнула|подчеркнула|VERB|117|9|11||1|1.0
84|эксперт|эксперт|эксперт|NOUN|118|9|12||1|1.0
85|юй|юй|Юй|UNKN|119|10|1|UNKN|1|1.0
86|ци|ци|Ци|TITL|120|10|2|TITL|1|1.0
87|напомнил|напомнила|напомнила|VERB|121|10|3||1|1.0
88|последний|последние|последние|ADJF|124|10|6||3|1.0
89|девять|девять|девять|NUMR|125|10|7||1|1.0
90|лет|лет|лет|NOUN|126|10|8||1|1.0
91|кнр|кнр|КНР|NOUN|127|10|9|UPPR|4|1.0
92|добился|добилась|добилась|VERB|128|10|10||1|1.0
93|больший|больших|больших|ADJF|129|10|11||1|1.0
94|успех|успехов|успехов|NOUN|130|10|12||1|1.0
95|усовершенствование|усовершенствовании|усовершенствовании|NOUN|132|10|14||1|1.0
96|технология|технологий|технологий|NOUN|133|10|15||5|1.0
97|дистанционный|дистанционного|дистанционного|ADJF|134|10|16||1|1.0
98|зондирование|зондирования|зондирования|NOUN|135|10|17||1|1.0
99|текущий|текущем|текущем|ADJF|138|10|20||2|1.0
100|этап|этапе|этапе|NOUN|139|10|21||1|1.0
101|используюсь|используются|используются|VERB|140|10|22||1|1.0
102|20 отраслях|20 отраслях|20 отраслях|NUSR|144|10|26|NUSR|1|1.0
103|число|числе|числе|NOUN|147|10|29||1|1.0
104|земельный|земельным|земельным|ADJF|150|10|32||1|1.0
105|ресурс|ресурсам|ресурсам|NOUN|151|10|33||1|1.0
106|область|области|области|NOUN|153|10|35||1|1.0
107|экология|экологии|экологии|NOUN|154|10|36||1|1.0
108|лесной|лесного|лесного|ADJF|155|10|37||1|1.0
109|сельский|сельского|сельского|ADJF|157|10|39||1|1.0
110|хозяйство|хозяйства|хозяйства|NOUN|158|10|40||2|1.0
111|китай|китай|Китай|NOUN|159|11|1|SPEC|4|1.0
112|развиваю|развивает|развивает|VERB|161|11|3||1|1.0
113|национальный|национальную|национальную|ADJF|162|11|4||4|1.0
114|космический|космическую|космическую|ADJF|163|11|5||6|1.0
115|программа|программу|программу|NOUN|164|11|6||2|1.0
116|ведя|ведя|ведя|GRND|165|11|7||1|1.0
117|интенсивный|интенсивную|интенсивную|ADJF|166|11|8||2|1.0
