|values
allwordscount|239.0
relwordscount|170.0
badwordscount|68.0
garbagewordscount|1.0
typeswords|['ADJF', 'NOUN', 'VERB', 'NUSR', 'NAME', 'PRTF', 'UNKN', 'TITL', 'NUMR', 'GRND', 'ADJS', 'INFN']
sentscount|15.0
minwordssent|2.0
maxwordssent|40.0
meanwordssent|17.0
minrepeatword|1.0
maxrepeatword|6.0
meanrepeatword|1.91
allcolumnsstat|['lemm', 'word', 'tword', 'partlang', 'pos', 'idsent', 'sentpos', 'tkey', 'count_word_text', 'count_word_sent']
garbage-%|0.41841004184100417
bad-%|28.451882845188283
