|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent|count_key_text
0|сша|сша|США|NOUN|1|1|1|SPEC|10|1.0|10
1|россия|россия|Россия|NOUN|3|1|3|SPEC|4|1.0|4
3|дрсмд|дрсмд|ДРСМД|UPPR|5|1|5|UPPR|1|1.0|1
4|мир|мир|мир|NOUN|6|1|6||7|1.0|7
6|германия|германии|Германии|NOUN|11|2|4|SPEC|3|1.0|3
15|1990-го|1990-го|1990-го|NUSR|24|3|2|NUSR|1|1.0|1
16|год|года|года|NOUN|25|3|3||4|1.0|4
17|германия|германия|Германия|NOUN|26|3|4|SPEC|3|1.0|3
21|междуцарствие|междуцарствия|междуцарствия|NOUN|30|3|8|WIQM|2|1.0|2
23|мир|мире|мире|NOUN|34|3|12||7|1.0|7
26|сша|сша|США|NOUN|38|3|16|SPEC|10|2.0|10
28|свой|свои|свои|ADJF|40|3|18||8|1.0|8
33|сша|сша|США|NOUN|49|3|27|SPEC|10|2.0|10
34|россия|россией|Россией|NOUN|54|3|32|SPEC|4|1.0|4
35|китай|китаем|Китаем|NOUN|57|3|35|SPEC|2|1.0|2
37|немецкий|немецкая|немецкая|ADJF|59|3|37||5|1.0|5
38|вельта|вельт|Вельт|NOUN|60|3|38|CLIV|1|1.0|1
44|мировой|мировому|Мировому|NOUN|67|5|1||7|2.0|7
45|порядок|порядку|порядку|NOUN|68|5|2||5|1.0|5
47|мировой|мировая|мировая|ADJF|70|5|4||7|2.0|7
48|держава|держава|держава|NOUN|71|5|5||5|1.0|5
54|ядерный|ядерную|ядерную|ADJF|84|6|13||12|1.0|12
58|сша|сша|США|NOUN|92|7|5|SPEC|10|1.0|10
59|дт|дональд трамп|Дональд Трамп|NAME|95|7|8|NAME|2|1.0|2
61|свой|своих|своих|ADJF|99|7|12||8|1.0|8
75|сша|сша|США|NOUN|116|8|3|SPEC|10|1.0|10
76|ядерный|ядерной|ядерной|ADJF|118|8|5||12|1.0|12
80|дняо|дняо|ДНЯО|UPPR|125|8|12|UPPR|1|1.0|1
81|доняо|договор о нераспространении ядерного оружия|Договор о нераспространении ядерного оружия|ABVR|126|8|13|ABVR|1|1.0|1
83|сша|сша|США|NOUN|131|9|2|SPEC|10|1.0|10
85|свой|свои|свои|ADJF|133|9|4||8|1.0|8
86|зип|звезды и полосы|звезды и полосы|WIQM|134|9|5|WIQM|1|1.0|1
87|хоккайдо|хоккайдо|Хоккайдо|NOUN|136|9|7|TITL|1|1.0|1
88|ландштуле|ландштуле|Ландштуле|TITL|138|9|9|TITL|1|1.0|1
91|ядерный|ядерного|ядерного|ADJF|142|9|13||12|1.0|12
92|оружие|оружия|оружия|NOUN|143|9|14||8|1.0|8
93|персидский|персидском|Персидском|ADJF|146|9|17|TITL|2|1.0|2
100|вопрос|вопросы|вопросы|NOUN|157|9|28||4|1.0|4
101|мировой|мирового|мирового|NOUN|158|9|29||7|1.0|7
102|порядок|порядка|порядка|NOUN|159|9|30||5|1.0|5
105|ввбд|взрослые в белом доме|взрослые в Белом доме|WIQM|164|10|3|WIQM|1|1.0|1
115|вопрос|вопросах|вопросах|NOUN|180|11|7||4|1.0|4
119|берлин|берлин|Берлин|NOUN|190|11|17|TITL|1|1.0|1
120|карибский|карибский|Карибский|ADJF|192|11|19|TITL|1|1.0|1
122|дс|дядя сэм|Дядя Сэм|CLIV|195|12|2|CLIV|1|1.0|1
129|мировой|мирового|мирового|NOUN|210|12|17||7|1.0|7
130|порядок|порядка|порядка|NOUN|211|12|18||5|1.0|5
133|мир|мире|мире|NOUN|216|12|23||7|1.0|7
140|холодный|холодной|Холодной|ADJF|227|13|7|TITL|1|1.0|1
144|мир|мир|мир|NOUN|231|13|11||7|1.0|7
149|ск|северная корея|Северная Корея|NAME|241|14|9|NAME|1|1.0|1
150|иран|иран|Иран|NOUN|243|14|11|SPEC|1|1.0|1
154|оружие|оружий|оружий|NOUN|250|14|18||8|1.0|8
158|ядерный|ядерный|Ядерный|ADJF|259|15|1||12|1.0|12
159|вопрос|вопрос|вопрос|NOUN|260|15|2||4|1.0|4
160|с 50-х|с 50-х|с 50-х|NUSR|262|15|4|NUSR|1|1.0|1
161|год|годов|годов|NOUN|263|15|5||4|1.0|4
165|швеция|швеция|Швеция|NOUN|272|15|14|SPEC|1|1.0|1
166|швейцария|швейцария|Швейцария|NOUN|274|15|16|SPEC|1|1.0|1
170|сша|сша|США|NOUN|286|16|5|SPEC|10|1.0|10
171|россия|россия|Россия|NOUN|288|16|7|SPEC|4|1.0|4
172|китай|китаем|Китаем|NOUN|291|16|10|SPEC|2|1.0|2
178|ядерный|ядерного|ядерного|ADJF|306|16|25||12|1.0|12
179|оружие|оружия|оружия|NOUN|307|16|26||8|1.0|8
181|ядерный|ядерным|ядерным|ADJF|310|17|3||12|1.0|12
182|оружие|оружием|оружием|NOUN|311|17|4||8|1.0|8
191|пакистан|пакистане|Пакистане|NOUN|325|17|18|SPEC|1|1.0|1
192|дели|дели|Дели|NOUN|327|17|20|TITL|1|1.0|1
197|германия|германия|Германия|NOUN|337|18|1|SPEC|3|1.0|3
198|япония|япония|Япония|NOUN|339|18|3|SPEC|1|1.0|1
201|тайвань|тайвань|Тайвань|NOUN|345|18|9|SPEC|1|1.0|1
203|свой|своем|своем|ADJF|348|18|12||8|1.0|8
205|ядерный|ядерного|ядерного|ADJF|351|18|15||12|2.0|12
206|оружие|оружия|оружия|NOUN|352|18|16||8|2.0|8
211|америка|америка|Америка|NOUN|363|18|27|SPEC|4|1.0|4
215|ядерный|ядерным|ядерным|ADJF|370|18|34||12|2.0|12
221|мировой|мировой|мировой|NOUN|380|18|44||7|1.0|7
222|порядок|порядок|порядок|NOUN|381|18|45||5|1.0|5
226|нато|нато|НАТО|ABVR|386|18|50|SPEC|2|1.0|2
227|оружие|оружии|оружии|NOUN|390|18|54||8|2.0|8
232|стабилизация|стабилизации|стабилизации|NOUN|399|18|63|SPEC|1|1.0|1
235|оружие|оружие|оружие|NOUN|406|19|7||8|1.0|8
241|мир|мир|мир|NOUN|416|19|17||7|1.0|7
249|ядерный|ядерные|ядерные|ADJF|431|20|6||12|1.0|12
251|сша|сша|США|NOUN|433|20|8|SPEC|10|1.0|10
257|ам|американский мир|Американский мир|WIQM|446|20|21|WIQM|1|1.0|1
258|pa|pax americana|Pax Americana|ABVR|447|20|22|ABVR|1|1.0|1
270|ядерный|ядерная|Ядерная|ADJF|465|21|1||12|2.0|12
276|мировой|мировых|мировых|NOUN|475|21|11||7|1.0|7
277|держава|держав|держав|NOUN|476|21|12||5|1.0|5
282|ядерный|ядерного|ядерного|ADJF|483|21|19||12|2.0|12
283|оружие|оружия|оружия|NOUN|484|21|20||8|1.0|8
296|рр|рональда рейгана|Рональда Рейгана|NAME|508|23|7|NAME|1|1.0|1
297|дт|дональда трампа|Дональда Трампа|NAME|510|23|9|NAME|2|1.0|2
302|мировой|мировой|мировой|NOUN|519|23|18||7|1.0|7
303|держава|державы|державы|NOUN|520|23|19||5|2.0|5
310|ядерный|ядерной|ядерной|ADJF|531|23|30||12|1.0|12
311|держава|державы|державы|NOUN|532|23|31||5|2.0|5
312|с 1990-го|с 1990-го|с 1990-го|NUSR|537|24|5|NUSR|1|1.0|1
313|год|года|года|NOUN|538|24|6||4|1.0|4
316|свой|своей|своей|ADJF|544|24|12||8|2.0|8
324|междуцарствие|междуцарствия|междуцарствия|NOUN|553|24|21|WIQM|2|1.0|2
326|мир|мире|мире|NOUN|559|24|27||7|1.0|7
332|держава|державы|державы|NOUN|566|24|34||5|1.0|5
334|свой|свои|свои|ADJF|568|24|36||8|2.0|8
