|values
keyscount|378.0
Ukeyscount|113.0
Skeyscount|63.0
USkeyscount|18.0
Nkeyscount|199.0
UNkeyscount|35.0
partlangkeys|['NOUN', 'TITL', 'NAME', 'ABVR', 'NUSR', 'ADJF', 'CLIV', 'FLNM', 'NUMB', 'PRTS', 'WIQM', 'UPPR']
typeskeys|[None, 'TITL', 'NAME', 'ABVR', 'NUSR', 'SPEC', 'CLIV', 'FLNM', 'NUMB', 'WIQM', 'UPPR']
inwhatsents|[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]
minkeyssent|1.0
maxkeyssent|35.0
meankeyssent|9.45
minrepeatkey|1.0
maxrepeatkeys|14.0
meanrepeatkey|6.1
allcolumnskey|['lemm', 'word', 'tword', 'partlang', 'pos', 'idsent', 'sentpos', 'tkey', 'count_word_text', 'count_word_sent', 'count_key_text']
keys-%|38.49
Ukeys-%|11.51
KUkeys-%|29.89
Skeys-%|6.42
Skeysofkeys-%|16.67
USkeysofUkeys-%|15.93
Nkeys-%|20.26
Nkeysofkeys-%|52.65
UNkeysofUkeys-%|30.97
