|word|tword|pos|idsent|sentpos
19|мае-июле|мае-июле|29|2|2
197|минпромторгу|Минпромторгу|296|14|1
505|противообледенения|противообледенения|740|32|22
511|электрозапуска|электрозапуска|749|32|31
562|спрециалисты|спрециалисты|816|35|7
639|минпромторгу|Минпромторгу|926|37|1
