|values
keyscount|479.0
Ukeyscount|149.0
Skeyscount|113.0
USkeyscount|25.0
Nkeyscount|232.0
UNkeyscount|37.0
partlangkeys|['NOUN', 'ADJF', 'ABVR', 'NUSR', 'NAME', 'WIQM', 'DSNU', 'CLIV', 'UPPR', 'TITL']
typeskeys|[None, 'SPEC', 'ABVR', 'UPPR', 'NUSR', 'TITL', 'NAME', 'CLIV', 'WIQM', 'DSNU']
inwhatsents|[1, 2, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 69, 70, 71, 72, 73, 74, 75, 76, 77, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 97, 99, 100, 101, 103, 104, 106, 107, 108, 109, 110, 111, 113, 114, 115, 117, 118, 119, 120, 121, 122, 123, 124, 125, 127, 128, 131, 132, 133]
minkeyssent|1.0
maxkeyssent|17.0
meankeyssent|4.06
minrepeatkey|1.0
maxrepeatkeys|41.0
meanrepeatkey|9.1
allcolumnskey|['lemm', 'word', 'tword', 'partlang', 'pos', 'idsent', 'sentpos', 'tkey', 'count_word_sent', 'count_word_text', 'count_key_text']
keys-%|23.01
Ukeys-%|7.16
KUkeys-%|31.11
Skeys-%|5.43
Skeysofkeys-%|23.59
USkeysofUkeys-%|16.78
Nkeys-%|11.14
Nkeysofkeys-%|48.43
UNkeysofUkeys-%|24.83
