|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_sent|count_word_text|count_key_text
1|лет|лет|лет|NOUN|5|1|5||1.0|4|4
4|сверхзвуковой|сверхзвуковые|сверхзвуковые|ADJF|9|1|9||1.0|24|24
5|пассажирский|пассажирские|пассажирские|ADJF|10|1|10||1.0|7|7
6|самолет|самолеты|самолеты|NOUN|11|1|11|SPEC|1.0|41|41
7|спс|спс|СПС|ABVR|12|1|12|ABVR|1.0|3|3
8|тасс|тасс|ТАСС|NOUN|13|2|1|UPPR|1.0|1|1
14|скорость|скорость|скорость|NOUN|23|2|11||1.0|10|10
19|европа|европа|Европа|NOUN|31|4|1||1.0|4|4
20|сверхзвуковой|сверхзвукового|сверхзвукового|ADJF|34|4|4||1.0|24|24
21|самолет|самолета|самолета|NOUN|35|4|5|SPEC|1.0|41|41
24|14-й|14-й|14-й|NUSR|39|4|9|NUSR|1.0|2|2
26|шум|шуму|шуму|NOUN|42|4|12||1.0|11|11
29|самолет|самолет|самолет|NOUN|49|5|7|SPEC|1.0|41|41
36|демонстратор|демонстратор|демонстратор|NOUN|61|7|5||1.0|6|6
38|самолет|самолеты|самолеты|NOUN|68|7|12|SPEC|1.0|41|41
40|россия|россии|России|NOUN|70|8|2|SPEC|1.0|2|2
51|аппарат|аппаратов|аппаратов|NOUN|88|8|20|SPEC|1.0|8|8
52|центральный|центрального|Центрального|ADJF|89|8|21|TITL|1.0|1|1
54|институт|института|института|NOUN|91|8|23||1.0|4|4
55|цаги|цаги|ЦАГИ|ABVR|92|8|24|ABVR|1.0|3|3
56|вк|виктор копьев|Виктор Копьев|NAME|93|8|25|NAME|1.0|1|1
58|первое|первом|первом|NOUN|96|9|3||1.0|6|6
66|сириус|сириус|Сириус|NOUN|109|10|8|CLIV|1.0|1|1
68|лет|лет|лет|NOUN|111|10|10||1.0|4|4
74|олимпиада|олимпиады|Олимпиады|NOUN|120|10|19|TITL|1.0|1|1
77|транспорт|транспорту|транспорту|NOUN|124|10|23|SPEC|1.0|4|4
80|нб|наука будущего|Наука будущего|WIQM|128|10|27|WIQM|1.0|1|1
84|час|часа|часа|NOUN|136|11|8||2.0|4|4
89|воздух|воздухе|воздухе|NOUN|147|11|19||1.0|8|8
90|час|час|час|NOUN|148|11|20||2.0|4|4
93|адлер|адлере|Адлере|NOUN|153|11|25|TITL|1.0|1|1
105|цена|цену|цену|NOUN|170|11|42||1.0|4|4
108|москвич|москвичами|москвичами|NOUN|175|11|47|WIQM|1.0|1|1
115|сверхзвуковой|сверхзвуковом|сверхзвуковом|ADJF|190|12|2||1.0|24|24
116|лайнер|лайнере|лайнере|NOUN|191|12|3||1.0|5|5
117|время|время|время|NOUN|194|12|6||1.0|4|4
119|владивосток|владивостока|Владивостока|NOUN|199|12|11|TITL|1.0|2|2
122|тихий|тихом|Тихом|ADJF|207|12|19|TITL|1.0|1|1
127|лет|лет|лет|NOUN|215|13|7||1.0|4|4
130|обычный|обычным|обычным|ADJF|222|13|14||1.0|4|4
131|дело|делом|делом|NOUN|223|13|15||1.0|5|5
135|страна|стран|стран|NOUN|231|14|8||1.0|5|5
138|ту-144|ту-144|Ту-144|DSNU|235|15|2|DSNU|1.0|8|8
139|конкорд|конкорд|Конкорд|CLIV|237|15|4|CLIV|1.0|5|5
142|сверхзвуковой|сверхзвуковой|Сверхзвуковой|ADJF|241|16|1||1.0|24|24
143|пассажирский|пассажирский|пассажирский|ADJF|242|16|2||1.0|7|7
144|транспорт|транспорт|транспорт|NOUN|243|16|3|SPEC|1.0|4|4
146|31.12.1968|31 декабря 1968 года|31 декабря 1968 года|NUSR|247|17|1|NUSR|1.0|1|1
149|лайнер|лайнер|лайнер|NOUN|251|17|5||1.0|5|5
150|ту-144|ту-144|Ту-144|DSNU|252|17|6|DSNU|1.0|8|8
154|конкорд|конкорд|Конкорд|CLIV|258|17|12|CLIV|1.0|5|5
159|фюзеляж|фюзеляж|фюзеляж|NOUN|268|18|10|SPEC|1.0|2|2
163|длинный|длинные|длинные|ADJF|274|18|16||1.0|4|4
165|крыло|крылья|крылья|NOUN|276|18|18|SPEC|1.0|5|5
169|двигатель|двигатели|двигатели|NOUN|283|18|25|SPEC|1.0|8|8
176|самолет|самолеты|самолеты|NOUN|293|19|3|SPEC|1.0|41|41
177|будущее|будущего|будущего|NOUN|294|19|4||1.0|4|4
180|2т|до 2 тыс|до 2 тыс|NUSR|299|19|9|NUSR|1.0|1|1
181|км/ч|км/ч|км/ч|ABVR|300|19|10|ABVR|1.0|1|1
185|скорость|скорости|скорости|NOUN|306|19|16||1.0|10|10
