|word|tword|pos|idsent|sentpos
154|франко-британский|франко-британский|257|17|11
372|ооновская|ооновская|605|38|33
400|франко-британским|франко-британским|647|39|24
552|бытьтише|бытьтише|911|54|18
797|предзаказы|предзаказы|1296|77|17
846|4k-видеокамер|4K-видеокамер|1366|83|19
997|boom|Boom|1619|100|1
1016|бизнес-джеты|бизнес-джеты|1645|101|8
1065|boom|Boom|1741|113|1
1220|полсвета|полсвета|1986|126|7
